initialization 19.0548920631
rhs 172 47.5392520428
update 172 3.22393012047
reconstruction 173 3.56713294983
boundary 173 6.7614839077
fluxes 173 22.3075759411
rhs 173 47.5299320221
update 173 3.21842193604
reconstruction 174 3.5643389225
boundary 174 6.76149511337
fluxes 174 22.3497281075
rhs 174 47.5085048676
update 174 3.22333598137
reconstruction 175 3.5682349205
boundary 175 6.76003193855
fluxes 175 22.3602931499
rhs 175 47.5382640362
update 175 3.22178411484
reconstruction 176 3.56330180168
boundary 176 6.76114678383
fluxes 176 22.3039419651
rhs 176 47.5241270065
update 176 3.2195930481
reconstruction 177 3.56817293167
boundary 177 6.76130199432
fluxes 177 22.3468852043
rhs 177 47.5042378902
update 177 3.22184801102
reconstruction 178 3.56436300278
boundary 178 6.76032185555
fluxes 178 22.350151062
rhs 178 47.5326008797
update 178 3.22244906425
reconstruction 179 3.57018113136
boundary 179 6.76124095917
fluxes 179 22.300932169
rhs 179 47.5208089352
update 179 3.22938418388
reconstruction 180 3.5640540123
boundary 180 6.76072311401
fluxes 180 22.3462347984
rhs 180 47.5090858936
update 180 3.22182106972
reconstruction 181 3.56695413589
boundary 181 6.76170086861
fluxes 181 22.3622941971
rhs 181 47.5338950157
update 181 3.219810009
reconstruction 182 3.56341099739
boundary 182 6.76121497154
fluxes 182 22.303565979
rhs 182 47.5247581005
update 182 3.22112107277
reconstruction 183 3.56926393509
boundary 183 6.76142907143
fluxes 183 22.343888998
rhs 183 47.4984869957
update 183 3.22291088104
reconstruction 184 3.5641720295
boundary 184 6.76108598709
fluxes 184 22.3487679958
rhs 184 47.5322439671
update 184 3.22246193886
reconstruction 185 3.56901597977
boundary 185 6.76019287109
fluxes 185 22.3043379784
rhs 185 47.5264341831
update 185 3.22308206558
reconstruction 186 3.56355905533
boundary 186 6.76256489754
fluxes 186 22.3211920261
rhs 186 47.4497210979
update 186 3.22175312042
reconstruction 187 3.56727600098
boundary 187 6.75361418724
fluxes 187 22.298238039
rhs 187 47.4798569679
update 187 3.22136211395
reconstruction 188 3.56419014931
boundary 188 6.7529361248
fluxes 188 22.2526059151
rhs 188 47.4633090496
update 188 3.22177696228
reconstruction 189 3.56812381744
boundary 189 6.75537490845
